HSPF_BLOCK,HSPF_TABLE,HSPF_TABLE_EXT,HDF_TABLE,TEMPLATE,HSPF_MANUAL_SORT_ORDER,TABLE_HEADER,TABLE_HELP
BMPRAC,GQ-FLAG,GQ-FLAG,/BMPRAC/GQ/FLAGS,GEN-INFO,399,"***                   Monthly variable flags
*** BMPRAC<------Qual 1------><------Qual 2------><------Qual 3------>
*** x -  x Soln Sand Silt Clay Soln Sand Silt Clay Soln Sand Silt Clay",*** General constituent (qual) flags.
BMPRAC,GQ-FRAC,GQ-FRAC,/BMPRAC/GQ/PARAMETERS,GEN-INFO,400,"    BMPRAC***     Name           Units            Removal fractions
*** x -  x<-------GQID------->  <GQTYID>      Soln      Sand      Silt      Clay",*** Name and removal fraction for one generalized quality constituent.
BMPRAC,HEAT-FLAG,HEAT-FLAG,/BMPRAC/HEAT/FLAGS,GEN-INFO,395,"*** BMPRAC Monthly variable flag
*** x -  x  HTF",*** Heat flags.
BMPRAC,HEAT-FRAC,HEAT-FRAC,/BMPRAC/HEAT/PARAMETERS,GEN-INFO,396,"*** BMPRAC Removal fraction
*** x -  x     HTFRC",*** Removal fraction for heat.
BMPRAC,NUT-FLAG,NUT-FLAG,/BMPRAC/NUT/FLAGS,GEN-INFO,403,"***                  Monthly variable flags
*** BMPRAC<-----Solution-----><---Ads-NH4---><---Ads-PO4--->
*** x -  x  NO3  TAM  NO2  PO4 Sand Silt Clay Sand Silt Clay",*** Nutrient flags.
BMPRAC,OXY-FLAG,OXY-FLAG,/BMPRAC/OXY/FLAGS,GEN-INFO,401,"*** BMPRAC  Monthly variable flags
*** x -  x DOXF BODF",*** Oxygen components flags.
BMPRAC,OXY-FRAC,OXY-FRAC,/BMPRAC/OXY/PARAMETERS,GEN-INFO,402,"*** BMPRAC   Removal fractions
*** x -  x       DOX       BOD",*** Removal fractions for oxygen components.
BMPRAC,PH-FLAG,PH-FLAG,/BMPRAC/PH/FLAGS,GEN-INFO,408,"*** BMPRAC  Monthly variable flags
*** x -  x  TIC  CO2",*** Inorganic carbon components flags.
BMPRAC,PH-FRAC,PH-FRAC,/BMPRAC/PH/PARAMETERS,GEN-INFO,409,"*** BMPRAC    Removal fractions
*** x -  x       TIC       CO2",*** Removal fractions for inorganic carbon components.
BMPRAC,PLANK-FLAG,PLANK-FLAG,/BMPRAC/PLANK/FLAGS,GEN-INFO,406,"*** BMPRAC  Monthly variable flags
*** x -  x Phyt  Zoo  ORN  ORP  ORC",*** Plankton components flags.
BMPRAC,PLANK-FRAC,PLANK-FRAC,/BMPRAC/PLANK/PARAMETERS,GEN-INFO,407,"*** BMPRAC                  Removal Fractions
*** x -  x      Phyt       Zoo       ORN       ORP       ORC",*** Removal fractions for plankton components.
BMPRAC,PRINT-INFO,PRINT-INFO,/BMPRAC/GENERAL/PRINT,GEN-INFO,388,"*** BMPRAC  Printout level flags
*** x -  x FLOW CONS HEAT  SED   GQ  OXY  NUT PLNK   PH PIVL  PYR","*** Table of printout level flags for BMPRAC. HSPF permits the user to
*** vary the printout level (maximum frequency) for the various active
*** sections of an operation. 2 means every PIVL intervals, 3 means
*** every day, 4 means every month, 5 means every year, 6 means never."
BMPRAC,SED-FLAG,SED-FLAG,/BMPRAC/SED/FLAGS,GEN-INFO,397,"*** BMPRAC Monthly variable flags
*** x -  x Sand Silt Clay",*** Sediment flags.
BMPRAC,SED-FRAC,SED-FRAC,/BMPRAC/SED/PARAMETERS,GEN-INFO,398,"*** BMPRAC         Removal fractions
*** x -  x      sand      silt      clay",*** Removal fractions for sediment.
CATEGORY,,,/CATEGORY,,428,Ac <no> <category name-> ***,"*** The CATEGORIES block associates a category name with a number for use
*** in keeping track of categories in a simulation."
COPY,TIMESERIES,TIMESERIES,/COPY/COPY/PARAMETERS,,371,"  Copy-opn ***
*** x -  x  NPT  NMN",*** Number of time series to be copied using COPY Operation.
DISPLY,DISPLY-INFO1,DISPLY-INFO1,/DISPLY/DISPLY/INFO,,376,"    DISPLY<----------Title-------->***        <-short-span->
*** x -  x                                    <---disply--->  <annual summary ->
*** x -  x                               TRAN PIVL DIG1 FIL1  PYR DIG2 FIL2 YRND","*** This table contains most of the information necessary to generate data
*** displays."
DISPLY,DISPLY-INFO2,DISPLY-INFO2,/DISPLY/DISPLY/INFO,DISPLY-INFO1,377,"*** DISPLY Convert DegC to F    Display negative data
*** x -  x      Mult       Add    THRSH1    THRSH2","*** Additional optional information for module DISPLY. This table is
*** usually not supplied."
DURANL,DURATIONS,DURATIONS,/DURANL/DURANL/PARAMETERS,GEN-DURDATA,380,"*** DURANL   <---Durations-------->
*** x -  x    1    2    3    4    5",*** Table of durations to be used in the duration analysis.
DURANL,GEN-DURDATA,GEN-DURDATA,/DURANL/DURANL/PARAMETERS,,378,"    DURANL<-----------------title----------------> NDUR NLEV PRFG***P- LCNU LCOU
*** x -  x                                                        UNIT",*** General information for durational analysis.
DURANL,LCONC,LCONC,/DURANL/DURANL/PARAMETERS,GEN-DURDATA,382,"    DURANL ***
*** x -  x       LC1       LC2       LC3       LC4       LC5       LC6       LC7
*** x -  x       LC8       LC9      LC10","*** Lethal concentrations to be used in the duration analysis. Repeats for
*** each lethal concentration curve-LCNUM times. If no lethal analysis is
*** being done, this table may be omitted."
DURANL,LEVELS,LEVELS,/DURANL/DURANL/PARAMETERS,GEN-DURDATA,381,"    DURANL ***
*** x -  x    2    3    4    5    6    7    8    9   10   11   12   13   14   15
*** x -  x   16   17   18   19   20   21",*** Levels to be used in the duration analysis.
DURANL,SEASON,SEASON,/DURANL/DURANL/PARAMETERS,GEN-DURDATA,379,"*** DURANL         Start               End
*** x -  x         mo da hr mn         mo da hr mn",*** Information for seasonal duration analysis.
EXT SOURCES,,,/CONTROL/EXT_SOURCES,,418,"***<-Volume-> <Member> SsysSgap<--Mult-->Tran <-Target vols> <-Grp> <-Member->
Ac <Name>***x <Name> x tem strg<-factor->strg <Name>   x   x        <Name> x x","*** In the EXTERNAL SOURCES block the user specifies those time series
*** which are to be supplied to operations in a RUN from sources external
*** to it."
EXT TARGETS,,,/CONTROL/EXT_TARGETS,,422,"***<-Volume-> <-Grp> <-Member-><--Mult-->Tran <-Volume-> <Member> Tsys Agg Amd
Ac <Name>***x        <Name> x x<-factor->strg <Name>   x <Name>qf  tem stg stg","*** In the EXTERNAL TARGETS block the user specifies those time series
*** which will be output from the operations in a RUN."
FILES,,,/FILES/FILES,,2,Ac <type>  <fun>***<------------fname---------------------------------------->,"*** The FILES block contains the names of input and output files used by
*** the program during the run."
FTABLES,FTABLE,FTABLE,/FTABLES/FT,,417,,
GENER,COEFFS,COEFFS,/GENER/INFO,OPCODE,385,"    GENER***      K1        K2        K3        K4        K5        K6        K7
*** x -  x",*** Coefficients in generating power function.
GENER,NTERMS,NTERMS,/GENER/INFO,OPCODE,384,"*** GENER NTERMS
*** x -  x",*** Number of terms in power series.
GENER,OPCODE,OPCODE,/GENER/OPCODE,,383,"*** GENER   OP-
*** x -  x CODE  NTS",*** Operation code and number of members for time series generation.
GENER,PARM,PARM,/GENER/GENER/INFO,OPCODE,386,"*** GENER          K
*** x -  x",*** Constant for GENER operation.
GLOBAL,,,/CONTROL/GLOBAL,,1,,
IMPLND,ACTIVITY,ACTIVITY,/IMPLND/GENERAL/ACTIVITY,,213,"*** <ILS >               Active Sections
*** x -  x ATMP SNOW IWAT  SLD  IWG IQAL",*** Active sections of IMPLND.
IMPLND,ATEMP-DAT,ATEMP-DAT,/IMPLND/ATEMP/PARAMETERS,,217,"*** <ILS >     ELDAT    AIRTEMP
*** x -  x      (m)    (deg C)",*** Data for section ATEMP.
IMPLND,BINARY-INFO,BINARY-INFO,/IMPLND/GENERAL/BINOUT,ACTIVITY,215,"*** <ILS > **** Binary-Output-flags **** PIVL  PYR
*** x -  x ATMP SNOW IWAT  SLD  IWG IQAL *********","*** Binary Output information of IMPLND. HSPF permits the user to vary
*** the output level (maximum frequency) for the various active sections
*** of an operation. 2 means every PIVL intervals, 3 means every day,
*** 4 means every month, 5 means every year, 6 means never."
IMPLND,GEN-INFO,GEN-INFO,/IMPLND/GENERAL/INFO,ACTIVITY,216,"***             Name             Unit-systems   Printer BinaryOut
*** <ILS >                           t-series Engl Metr Engl Metr
*** x -  x                            in  out",*** General information for IMPLND.
IMPLND,ICE-FLAG,ICE-FLAG,/IMPLND/SNOW/FLAGS,,218,"*** <ILS > Ice-
*** x -  x flag",*** Flag to simulate ice formation.
IMPLND,IQL-AD-FLAGS,IQL-AD-FLAGS,/IMPLND/IQUAL/FLAGS,QUAL-PROPS,243,"***                        Atmospheric Deposition Flags
*** <ILS >  QUAL1  QUAL2  QUAL3  QUAL4  QUAL5  QUAL6  QUAL7  QUAL8  QUAL9 QUAL10
*** x -  x <F><C> <F><C> <F><C> <F><C> <F><C> <F><C> <F><C> <F><C> <F><C> <F><C>",*** Quality constituent atmospheric deposition flags.
IMPLND,IWAT-PARM1,IWAT-PARM1,/IMPLND/IWATER/PARAMETERS,IWAT-PARM2,225,"*** <ILS >        Flags
*** x -  x CSNO RTOP  VRS  VNN RTLI",*** First group of IWATER parameters (flags).
IMPLND,IWAT-PARM2,IWAT-PARM2,/IMPLND/IWATER/PARAMETERS,,226,"*** <ILS >      LSUR     SLSUR      NSUR     RETSC
*** x -  x       (m)                          (mm)",*** Second group of IWATER parameters.
IMPLND,IWAT-PARM3,IWAT-PARM3,/IMPLND/IWATER/PARAMETERS,IWAT-PARM2,227,"*** <ILS >    PETMAX    PETMIN
*** x -  x   (deg C)   (deg C)",*** Third group of IWATER parameters.
IMPLND,IWAT-STATE1,IWAT-STATE1,/IMPLND/IWATER/STATES,IWAT-PARM2,235,"*** <ILS >  IWATER state variables (mm)
*** x -  x      RETS      SURS",*** This table is used to specify the inital water storages.
IMPLND,IWT-INIT,IWT-INIT,/IMPLND/IWTGAS/STATES,,241,"*** <ILS >     SOTMP     SODOX     SOCO2
*** x -  x   (deg C)    (mg/l)  (mg C/l)","*** Initial conditions for section IWTGAS.  The values given in this table
*** do not affect anything in the simulation beyond the start of the first
*** interval of the run.  Therefore, in most runs, this table should be
*** omitted."
IMPLND,IWT-PARM1,IWT-PARM1,/IMPLND/IWTGAS/PARAMETERS,,236,"*** <ILS >  Flags for section IWTGAS
*** x -  x WTFV CSNO",*** Flags for section IWTGAS (IMPLND).
IMPLND,IWT-PARM2,IWT-PARM2,/IMPLND/IWTGAS/PARAMETERS,,237,"***         Second group of IWTGAS parms
*** <ILS >      ELEV      AWTF      BWTF
*** x -  x       (m)   (deg C) (deg C/C)",*** Second group of IWTGAS parameters (IMPLND).
IMPLND,LAT-FACTOR,LAT-FACTOR,/IMPLND/IQUAL/PARAMETERS,QUAL-PROPS,238,"*** <ILS >  Sediment   Surface
*** x -  x    SDLFAC    SLIFAC",*** Lateral inflow weighting factors for IWGTAS and IQUAL
IMPLND,LAT-FACTOR,LAT-FACTOR,/IMPLND/IWTGAS/PARAMETERS,,237,"*** <ILS >  Sediment   Surface
*** x -  x    SDLFAC    SLIFAC",*** Lateral inflow weighting factors for IWGTAS and IQUAL
IMPLND,MON-ACCUM,MON-ACCUM1,/IMPLND/IQUAL/MONTHLY/ACQOP1,QUAL-PROPS,247,"*** <ILS >  Value at start of each month for accum rate of QUALOF (qty/ha.day)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of accumulation rate of QUALOF at start of each month.
*** This table is only required if VQOFG in Table-type QUAL-PROPS is 1.
*** and is repeated for each quality constituent."
IMPLND,MON-ACCUM,MON-ACCUM10,/IMPLND/IQUAL/MONTHLY/ACQOP10,QUAL-PROPS,247,"*** <ILS >  Value at start of each month for accum rate of QUALOF (qty/ha.day)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of accumulation rate of QUALOF at start of each month.
*** This table is only required if VQOFG in Table-type QUAL-PROPS is 1.
*** and is repeated for each quality constituent."
IMPLND,MON-ACCUM,MON-ACCUM2,/IMPLND/IQUAL/MONTHLY/ACQOP2,QUAL-PROPS,247,"*** <ILS >  Value at start of each month for accum rate of QUALOF (qty/ha.day)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of accumulation rate of QUALOF at start of each month.
*** This table is only required if VQOFG in Table-type QUAL-PROPS is 1.
*** and is repeated for each quality constituent."
IMPLND,MON-ACCUM,MON-ACCUM3,/IMPLND/IQUAL/MONTHLY/ACQOP3,QUAL-PROPS,247,"*** <ILS >  Value at start of each month for accum rate of QUALOF (qty/ha.day)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of accumulation rate of QUALOF at start of each month.
*** This table is only required if VQOFG in Table-type QUAL-PROPS is 1.
*** and is repeated for each quality constituent."
IMPLND,MON-ACCUM,MON-ACCUM4,/IMPLND/IQUAL/MONTHLY/ACQOP4,QUAL-PROPS,247,"*** <ILS >  Value at start of each month for accum rate of QUALOF (qty/ha.day)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of accumulation rate of QUALOF at start of each month.
*** This table is only required if VQOFG in Table-type QUAL-PROPS is 1.
*** and is repeated for each quality constituent."
IMPLND,MON-ACCUM,MON-ACCUM5,/IMPLND/IQUAL/MONTHLY/ACQOP5,QUAL-PROPS,247,"*** <ILS >  Value at start of each month for accum rate of QUALOF (qty/ha.day)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of accumulation rate of QUALOF at start of each month.
*** This table is only required if VQOFG in Table-type QUAL-PROPS is 1.
*** and is repeated for each quality constituent."
IMPLND,MON-ACCUM,MON-ACCUM6,/IMPLND/IQUAL/MONTHLY/ACQOP6,QUAL-PROPS,247,"*** <ILS >  Value at start of each month for accum rate of QUALOF (qty/ha.day)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of accumulation rate of QUALOF at start of each month.
*** This table is only required if VQOFG in Table-type QUAL-PROPS is 1.
*** and is repeated for each quality constituent."
IMPLND,MON-ACCUM,MON-ACCUM7,/IMPLND/IQUAL/MONTHLY/ACQOP7,QUAL-PROPS,247,"*** <ILS >  Value at start of each month for accum rate of QUALOF (qty/ha.day)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of accumulation rate of QUALOF at start of each month.
*** This table is only required if VQOFG in Table-type QUAL-PROPS is 1.
*** and is repeated for each quality constituent."
IMPLND,MON-ACCUM,MON-ACCUM8,/IMPLND/IQUAL/MONTHLY/ACQOP8,QUAL-PROPS,247,"*** <ILS >  Value at start of each month for accum rate of QUALOF (qty/ha.day)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of accumulation rate of QUALOF at start of each month.
*** This table is only required if VQOFG in Table-type QUAL-PROPS is 1.
*** and is repeated for each quality constituent."
IMPLND,MON-ACCUM,MON-ACCUM9,/IMPLND/IQUAL/MONTHLY/ACQOP9,QUAL-PROPS,247,"*** <ILS >  Value at start of each month for accum rate of QUALOF (qty/ha.day)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of accumulation rate of QUALOF at start of each month.
*** This table is only required if VQOFG in Table-type QUAL-PROPS is 1.
*** and is repeated for each quality constituent."
IMPLND,MON-AWTF,MON-AWTF,/IMPLND/IWTGAS/MONTHLY/AWTF,QUAL-PROPS,239,"*** <ILS >  Value of AWTF at start of each month (deg C)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of AWTF (intercept of surface water temperature
*** regression equation) at start of each month. This table is only
*** required if WTFVFG in Table-type IWT-PARM1 is 1."
IMPLND,MON-BWTF,MON-BWTF,/IMPLND/IWTGAS/MONTHLY/BWTF,QUAL-PROPS,240,"*** <ILS >  Value of BWTF at start of each month (deg C/C)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of BWTF (slope of surface water temperature regression
*** equation) at start of each month. This table is only required if
*** WTFVFG in Table-type IWT-PARM1 is 1."
IMPLND,MON-MANNING,MON-MANNING,/IMPLND/IWATER/MONTHLY/NSUR,IWAT-PARM2,229,"*** <ILS >  Manning's n at start of each month
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Values of Manning's n for the overland flow plane at start of ea
*** month.  This table is only required if VNNFG in Table-type IWAT-PARM1
*** is 1."
IMPLND,MON-MELT-FAC,MON-MELT-FAC,/IMPLND/SNOW/MONTHLY/KMELT,,222,"*** <ILS >  Degree-day snowmelt factor at start of each month (mm/d.C)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of degree-day snowmelt factor at start of each month.
*** This table is only required if VKMFG in Table-type SNOW-FLAGS is 1."
IMPLND,MON-POTFW,MON-POTFW1,/IMPLND/IQUAL/MONTHLY/POTFW1,QUAL-PROPS,246,"*** <ILS >  Value at start of each month for washoff potency factor (qty/tonn)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of washoff potency factor at start of each month. This
*** table is only required if VPFWFG in Table-type QUAL-PROPS is 1. and is
*** repeated for each quality constituent."
IMPLND,MON-POTFW,MON-POTFW10,/IMPLND/IQUAL/MONTHLY/POTFW10,QUAL-PROPS,246,"*** <ILS >  Value at start of each month for washoff potency factor (qty/tonn)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of washoff potency factor at start of each month. This
*** table is only required if VPFWFG in Table-type QUAL-PROPS is 1. and is
*** repeated for each quality constituent."
IMPLND,MON-POTFW,MON-POTFW2,/IMPLND/IQUAL/MONTHLY/POTFW2,QUAL-PROPS,246,"*** <ILS >  Value at start of each month for washoff potency factor (qty/tonn)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of washoff potency factor at start of each month. This
*** table is only required if VPFWFG in Table-type QUAL-PROPS is 1. and is
*** repeated for each quality constituent."
IMPLND,MON-POTFW,MON-POTFW3,/IMPLND/IQUAL/MONTHLY/POTFW3,QUAL-PROPS,246,"*** <ILS >  Value at start of each month for washoff potency factor (qty/tonn)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of washoff potency factor at start of each month. This
*** table is only required if VPFWFG in Table-type QUAL-PROPS is 1. and is
*** repeated for each quality constituent."
IMPLND,MON-POTFW,MON-POTFW4,/IMPLND/IQUAL/MONTHLY/POTFW4,QUAL-PROPS,246,"*** <ILS >  Value at start of each month for washoff potency factor (qty/tonn)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of washoff potency factor at start of each month. This
*** table is only required if VPFWFG in Table-type QUAL-PROPS is 1. and is
*** repeated for each quality constituent."
IMPLND,MON-POTFW,MON-POTFW5,/IMPLND/IQUAL/MONTHLY/POTFW5,QUAL-PROPS,246,"*** <ILS >  Value at start of each month for washoff potency factor (qty/tonn)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of washoff potency factor at start of each month. This
*** table is only required if VPFWFG in Table-type QUAL-PROPS is 1. and is
*** repeated for each quality constituent."
IMPLND,MON-POTFW,MON-POTFW6,/IMPLND/IQUAL/MONTHLY/POTFW6,QUAL-PROPS,246,"*** <ILS >  Value at start of each month for washoff potency factor (qty/tonn)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of washoff potency factor at start of each month. This
*** table is only required if VPFWFG in Table-type QUAL-PROPS is 1. and is
*** repeated for each quality constituent."
IMPLND,MON-POTFW,MON-POTFW7,/IMPLND/IQUAL/MONTHLY/POTFW7,QUAL-PROPS,246,"*** <ILS >  Value at start of each month for washoff potency factor (qty/tonn)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of washoff potency factor at start of each month. This
*** table is only required if VPFWFG in Table-type QUAL-PROPS is 1. and is
*** repeated for each quality constituent."
IMPLND,MON-POTFW,MON-POTFW8,/IMPLND/IQUAL/MONTHLY/POTFW8,QUAL-PROPS,246,"*** <ILS >  Value at start of each month for washoff potency factor (qty/tonn)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of washoff potency factor at start of each month. This
*** table is only required if VPFWFG in Table-type QUAL-PROPS is 1. and is
*** repeated for each quality constituent."
IMPLND,MON-POTFW,MON-POTFW9,/IMPLND/IQUAL/MONTHLY/POTFW9,QUAL-PROPS,246,"*** <ILS >  Value at start of each month for washoff potency factor (qty/tonn)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of washoff potency factor at start of each month. This
*** table is only required if VPFWFG in Table-type QUAL-PROPS is 1. and is
*** repeated for each quality constituent."
IMPLND,MON-REMOV,MON-REMOV,/IMPLND/SOLIDS/MONTHLY/REMSDP,SLD-PARM2,233,"*** <ILS >  Monthly solids unit removal rate (/day)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values of solids unit removal rate. This table is only
*** required if VRSDFG in Table-type SLD-PARM1 is 1."
IMPLND,MON-RETN,MON-RETN,/IMPLND/IWATER/MONTHLY/RETSC,IWAT-PARM2,228,"*** <ILS >  Retention storage capacity at start of each month (mm)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly Values of retention storage capacity at start of each mo This
*** table is only required if VRSFG in Table-type IWAT-PARM1 is"
IMPLND,MON-SACCUM,MON-SACCUM,/IMPLND/SOLIDS/MONTHLY/ACCSDP,SLD-PARM2,232,"*** <ILS >  Monthly values for solids accumulation (tonnes/ha.day)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values for solids accumulation rate. This table is only
*** required if VASDFG in Table-type SLD-PARM1 is 1."
IMPLND,MON-SQOLIM,MON-SQOLIM1,/IMPLND/IQUAL/MONTHLY/SQOLIM1,QUAL-PROPS,248,"*** <ILS >  Value at start of month for limiting storage of QUALOF (qty/ha)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values limiting storage of QUALOF at start of each month. This
*** table is only required if VQOFG in Table-type QUAL-PROPS is 1. and is
*** repeated for each quality constituent."
IMPLND,MON-SQOLIM,MON-SQOLIM10,/IMPLND/IQUAL/MONTHLY/SQOLIM10,QUAL-PROPS,248,"*** <ILS >  Value at start of month for limiting storage of QUALOF (qty/ha)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values limiting storage of QUALOF at start of each month. This
*** table is only required if VQOFG in Table-type QUAL-PROPS is 1. and is
*** repeated for each quality constituent."
IMPLND,MON-SQOLIM,MON-SQOLIM2,/IMPLND/IQUAL/MONTHLY/SQOLIM2,QUAL-PROPS,248,"*** <ILS >  Value at start of month for limiting storage of QUALOF (qty/ha)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values limiting storage of QUALOF at start of each month. This
*** table is only required if VQOFG in Table-type QUAL-PROPS is 1. and is
*** repeated for each quality constituent."
IMPLND,MON-SQOLIM,MON-SQOLIM3,/IMPLND/IQUAL/MONTHLY/SQOLIM3,QUAL-PROPS,248,"*** <ILS >  Value at start of month for limiting storage of QUALOF (qty/ha)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC","*** Monthly values limiting storage of QUALOF at start of each month. This
*** table is only required if VQOFG in Table-type QUAL-PROPS is 1. and is
*** repeated for each quality constituent."
